relone_date,gov_date,type,feature,description
2025/03/24,,Enhancement,Management Console,The RelativityOne Management Console usage reports now contain the 'User' report type. This data allows you to generate reports detailing which users had access to which workspaces in a given month.
2025/03/06,2025/03/06,Enhancement,Redact,This feature enables inversion in the Review Interface for redact workflows to replace the previous Reverting feature. Inversion type markups are identical in functionality to Reversion markups with the added benefit of being QC-able.
2025/03/07,2025/03/07,Enhancement,Audit,Audit records for document edits now record the name of the selected choice by default. This increases performance for Audit queries and improves the in-app Audit search user experience.
2025/02/05,2025/02/05,Enhancement,Permissions,You can now manage permissions on Feature level. Full workflows can now be enabled with a single click.
2025/01/10,2025/01/10,Enhancement,RelativityOne Staging Explorer,Main top-level folders in RelativityOne Staging Explorer are now visible in terms of Staging Governance initiative.
2025/03/03,2025/03/03,Enhancement,Cost Explorer,Added insights into the data usage and associated costs for aiR for Case Strategy analysis in Cost Explorer.
2024/11/19,2024/11/19,Enhancement,Translate,Added a new option in the translate modal to provide Translate customers the ability to translate a stored pdf within RelativityOne.
N/A,2023/12/20,Enhancement,Collect,You can now collect from GovSlack instances in RelativityOne Government environments.
N/A,2023/07/17,Enhancement,Collect,You can now collect Microsoft Teams chat data from Microsoft 365 Government tenants into RelativityOne Government instances.
2025/03/01,2025/03/01,Deprecation,User Management,The RelativityOne Preview instance has been deprecated.
2025/09/01,2025/09/01,Enhancement,RelativityOne Staging Explorer,"""Message of the Day"" ensures that users are notified one month before the release of a critical version of ROSE. This advance notification aims to provide users with adequate time to prepare for the upcoming updates and changes."
2025/02/26,N/A,Enhancement,Import/Export,"The feature enabling Import and Export using MDB load files in RelativityOne, following Australian standards, is now generally available for APAC region."
2025/02/25,N/A,Enhancement,Data Breach Response,You can now run conflict cluster resolution workflows in the RelativityOne UI after Entity Normalization is run in Data Breach Response.
2025/02/21,2025/02/21,Enhancement,Redact,You will be able to view and download the original native spreadsheet from the Viewer directly from the backed up copy stored in the RDO.
2025/02/20,2025/02/20,Enhancement,Legal Hold,Legal Hold Communications page updated to the Relativity Aero UI. This enables faster page load times for this page and a better overall user experience.
2025/02/20,2025/02/20,Resolved defect,Legal Hold,Fixed a defect which was causing banner notifications on the Legal Hold project page to be hidden.
2025/02/18,2025/02/18,Enhancement,Mass Operations,We are changing the name of the mass operation from Revert Native Redactions to Delete Native Markups to better represent what the mass operation is doing.
2025/02/14,N/A,Enhancement,Management Console,The Management Console staging Billing Summary Reports now contain Created DateTime UTC and Last Modified DateTime UTC values to help track how long files have been in the Staging Area.
2025/02/13,2025/02/14,Enhancement,Review Center,You can now release skipped documents back into your queue to be re-reviewed.
2025/02/12,N/A,Enhancement,Data Breach Response,"Incorporate Feedback is now available outside of Privacy Workflow as Data Analysis, and documents can now be reviewed as soon as they are finished processing through the PI Detection stages."
2025/02/07,N/A,Deprecation,Data Breach Response,The legacy Merge Reason Table has been deprecated in Data Breach Response. This data is now available in the Entity Analysis tab in RelativityOne.
2025/01/31,N/A,Deprecation,Data Breach Response,The legacy Entity Report is deprecated in Data Breach Response. Entity handling is now done in the Entity Analysis tab in RelativityOne.
2025/01/30,N/A,Enhancement,AI Help Chatbot,"We are excited to announce the launch of AI Help, a generative AI-powered chatbot within RelativityOne that leverages our public documentation and knowledge base content to provide immediate answers to questions on the functional use of Relativity. Once enabled an ""Ask AI"" button will appear in the top right of the global navigation bar. We will roll this out throughout the first quarter of 2025, starting with the January monthly release for select US instances. Then expanding to all regions with AI services."
2025/01/24,2025/01/24,Enhancement,Structured Analytics Set,"When running a Structured Analytics Set: (1) documents over 30 MB will be automatically removed from the set and will generate document level errors. (2) You should expect more large files to be excluded at the document level, resulting in more inclusive emails for the inclusive reason unanalyzed attachment. (3) We suggest removing conditions on your Saved Searches used as data source for Structured Analytics Sets that exclude files larger than 30 MB in extracted text. Such conditions are no longer needed with this new logic."
2025/01/24,2025/01/24,Enhancement,Structured Analytics Set,"When running a Structured Analytics Set, if a document has more than 500 total entities and aliases associated with it, the document is excluded from name normalization analysis and the system generates a document-level error. This limit counts all participants in the To, From, CC, and BCC headers. Aliases and entities identified in the excluded document are not imported.
If the same aliases and entities appear in documents that are not excluded, they will be imported and linked to those documents as usual. These aliases and entities will not be associated with the excluded document."
2025/01/24,TBA,Enhancement,aiR for Review,You can now collapse and expand the prompt criteria for aiR for Review projects.
2025/01/21,2025/01/22,Enhancement,Billing Agent,Adjusted Natives/Images/Productions File Size reporting for PDF files (Billing Agent & Billing Statistics Scripts)
2025/01/14,TBA,Enhancement,aiR for Review,The aiR for Review jobs page has been updated to make managing jobs and document linking easier with a single icon being used to link and hide results.
2024/12/20,2024/12/20,Resolved defect,ARM,"When archiving a workspace using ARM with âInclude Linked Filesâ enabled, linked natives for documents that have a value populated in the ProcessingFileID field may be excluded from the archive. For additional information see Knowledge Base article REL-1014846."
2024/12/20,TBA,Enhancement,aiR for Review,"In aiR for Review, the Save as List mass operation is now available on the project page."
2024/12/20,2024/12/20,Enhancement,Import/Export,Import/Export now allows renaming workspace field names at export.
2024/12/20,2024/12/20,Enhancement,Pagebase,Skip to Main Content is a link that provides a shortcut that will allow a user to quickly navigate to the main content of a page. This bypasses repetitive navigation steps like tabbing through all of the various tabs that are on the page at a given time.
2024/12/19,2024/12/20,Enhancement,Security Center,"The new Security Configurations view shows recommendations for bringing your security configuration back into alignment, and provides information on the risks involved with leaving misaligned settings in place."
2024/12/18,2024/12/18,Enhancement,Legal Hold,"When sending a test email, you can now specify a single or multiple email address to send to."
2024/12/18,2024/12/18,Enhancement,Legal Hold,"You can now requeue mailbox items in ""Failed"" or ""Pending"" state using a new mass action on the Mailbox tab."
2024/12/18,2024/12/18,Enhancement,Legal Hold,A new setting is available on the Legal Hold Settings page to automatically refresh the access token when using Graph API for sending emails. This is turned on by default for all customers currently using Graph API.
2024/12/17,TBA,Enhancement,Workspace Management,"You can now work on other tasks in RelativityOne while your workspace is created in the background. Once the workspace is ready, you'll receive a notification, and the ""Workspace State"" field will update, eliminating the need to wait for the workspace creation process to complete. Note: this change is being rolled out gradually to RelativityOne production instances over a period of several weeks."
2024/12/17,2024/12/17,Enhancement,Translate,"When using RelativityOne Translate, users can now optionally select a source language for the document set being translated. Although the source language is automatically detected by Translate, specifying the source language can help improve results for multilingual document sets."
2024/12/17,,Enhancement,Management Console,"Usage Reports are now available via the Management Console. Through Usage Reports administrators can create custom reports on their workspace, product and processing Usage to help quickly pull together information for general oversight or billing end clients"
2024/12/12,2024/12/12,Enhancement,Review Center,Review Center now fully supports the ARM workflow.
2024/12/12,2024/12/12,Enhancement,Redact,"In RelativityOne Redact, we've introduced the 'Find and Redact' feature to the stored PDF Viewer that extends the existing Viewer search capabilities by allowing you to draw markup over selected search hits with your preferred markup type, style, and scope when marking up stored PDFs. If there's any searchable pattern at all to the content you want to markup, this feature will make your manual workflows much more efficient."
2024/12/10,2024/12/10,Enhancement,Review Center,You can now select more than one long text field on your prioritized review queue and select the order in which they are considered by the classifier.
2024/12/09,2024/12/09,Enhancement,Redact,"In RelativityOne Redact, we've extended the 'Revert Native Redactions' mass operation to also support removing markup on rendered PDFs. When using this feature the user will now be presented with the following options so that it is clear which markups are being removed from which file type: Natives & Rendered PDFs, Natives, Rendered PDFs."
2024/12/04,2024/12/04,Enhancement,Cost Explorer,"Providing data from âProject Typeâ field in Cost Explorer will enable Practice Administrators to monitoring, management and exploration data in Workspaces Table in Cost Explorer."
2024/11/24,2024/11/24,Enhancement,Import/Export,Import/Export now allows automatically mapping similarly named fields with AI when importing data into RelativityOne.
2024/11/21,TBA,Enhancement,Collect,Customers based in the United States with RelativityOne tenants in a US data center can now remotely collect mobile devices via an integration with Cellebrite Endpoint Inspector (SaaS) or Endpoint Mobile Now. This integration does require a subscription to either Endpoint Inspector or Mobile Now.
2024/11/20,2024/11/20,Deprecation,Active Learning,The Active Learning application is now in read-only mode. View legacy project information via Review Center.
2024/11/20,2024/11/20,Enhancement,Redact,"In RelativityOne Redact, the Markup and Document Reports have been updated to be more resilient because they are now processed by a dedicated agent. After successfully initiating either report, a notification will inform the user that they will receive an email with an attached CSV of the report type from the workspace they requested."
2024/11/20,TBA,Enhancement,aiR for Review,aiR for Review now has a counter that displays the number of characters in the prompt criteria.
2024/11/09,2024/11/09,Deprecation,Offline Billing App,Relativity Server Offline Billing application was deprecated. Customers with Server Offline instance will need to follow a process of sending billable usage metrics using Billing Statistics Scripts.
2024/11/09,2024/11/09,Enhancement,Active Learning,"You now have the ability to uninstall the Active Learning application from workspaces. It is recommended to uninstall the application from template workspaces; however, you must keep the application installed in workspaces where you want to preserve legacy project information."
2024/11/08,N/A,Enhancement,Data Breach Response,You can now view and export the entity list in Data Breach Response in the Entity Analysis tab in RelativityOne.
2024/11/06,2024/12/10,Enhancement,Review Center,Prioritized review queues now support documents with long text up to 30KB.
2024/10/31,,Enhancement,aiR for Review,"You can now see the model version used on an aiR for Review job. For additional information on model versions, please review the documentation site."
2024/10/31,2024/10/31,Enhancement,Legal Hold,"Legal Hold customers will now see an error message field in the Mailbox object if an email fails to send, providing users with visibility into issues such as expired Graph API tokens or security blocks. By seeing these error messages, you can troubleshoot and resolve email failures independently, without needing to contact support. This capability significantly enhances user autonomy and reduces downtime in communication workflows."
2024/10/28,TBD,Enhancement,aiR for Review,You can now change the name of the prompt criteria when creating an aiR for Review project
2024/10/28,TBD,Resolved defect,aiR for Review,Filters now persist when navigating from an aiR for Review project to the Document Viewer and back to the aiR for Review project.
2024/10/24,,Resolved defect,Legal Hold,Resolved an issue on the Legal Hold Settings page where the Portal URL field was incorrectly populated during the initial installation of the application.
2024/10/24,TBA,Enhancement,Contracts,"In the Contracts Models tab, you'll now have access to a new Essential Fields model that uses generative AI to auto-populate over a dozen fields including, but not limited to, key data points such as the contract title, contract type, parties, effective date, and governing law. There is also a new analysis profile called Essential Fields containing this model."
2024/10/24,2024/10/24,Resolved defect,Legal Hold,Addresses the problem of communications getting stuck in a Pending state when Graph had not been authenticated. These communications will now show in an errored state.
2024/10/23,,Deprecation,User Management,The User Group Sync for Preview and Sandbox application has been deprecated and will not sync new users to the RelativityOne Preview instance.
2024/10/22,2024/10/24,Enhancement,Redact,"In RelativityOne Redact, the application will now prevent users from drawing markup on documents that have been flagged for external redactions so as to introduce a new guardrail to avoid branding errors during production. The external redaction workflow is intended to be used only for documents that are incompatible with Redact, therefore the application will no longer allow users to draw markup on documents that have been explicitly flagged for external redactions because those markups would throw errors during branding anyway."
2024/10/16,2024/10/16,Enhancement,Processing,The ARM Archive setup page has added a Processing Options section which includes an option to include or exclude Processing data.
2024/10/14,,Enhancement,aiR for Review,The aiR for Review Jobs page now contains a column for the ServiceJobID that can be used to associate documents to aiR for Review job runs.
2024/10/10,2024/10/10,Resolved defect,Import API,"When a documentâs native or image files are transferred between workspaces in OverlayOnly or Append/Overlay mode with Links Only option, this action can lead to data loss under certain conditions. For additional information see knowledge base article REL-920093"
2024/10/07,2024/10/09,Enhancement,List Page,The new document list page has now been deployed to all regions and customers.
2024/09/27,TBD,Enhancement,aiR for Review,"The aiR for Review Project list page now includes additional columns for analysis type, when the last analysis was run, and which prompt criteria version the project is on."
2024/09/20,2024/09/20,Resolved defect,Legal Hold,Fixed a defect on the Legal Hold Settings page where the wrong fields were showing for Gmail API Outgoing Email Processor Type.
2024/09/20,TBD,Enhancement,aiR for Review,"You can now filter, sort, and page results in the aiR for Review project page list."
2024/09/19,,Enhancement,aiR for Review,"You can now select a use case when creating an aiR for Review project. This will be used for reporting, organizing, and allowing for product innovations."
2024/09/19,2024/09/19,Enhancement,Redact,"In RelativityOne Redact, we've moved the 'Clear markup set' button from the bottom toolbar to the top toolbar and replaced the button text with a trashcan icon in order to have more consistency across file types when deleting markup."
2024/09/16,,Enhancement,aiR for Review,aiR for Review is now generally available to RelativityOne customers. Those interested should get in touch with their RelativityOne account team for additional information.
2024/09/11,2024/09/11,Resolved defect,Related Items Viewer,The mass operation helper has never functioned correctly when updating All items while a filter is applied. Previous behavior would query for and select the top X results from all related documents where X was the number of filtered documents. This would result in the wrong documents being coded. For further information see knowledge base article REL-991712.
2024/09/10,2024/09/10,Resolved defect,Legal Hold,"Updates made to improve the load time to various pages in the application (Legal Hold Wizard, Object Pickers, Reports page, Custodian Portal)"
2024/09/10,2024/09/10,Enhancement,Cost Explorer,Enhance the Cost Explorer dashboard with additional information level banners to clarify the data presented. This will help reduce customer confusion regarding Relativity billing and decrease the number of billing-related incidents.
2024/09/10,2024/09/10,Enhancement,RDO,If field creation exceeds 10 seconds a progress modal is displayed that allows the operation to be canceled.
2024/09/09,2024/09/10,Enhancement,dtSearch,Improved index composition logic resulting in more balanced indexes and potentially faster build times
2024/09/06,2024/09/06,Enhancement,Legal Hold,You can now use Google Modern Authentication for Sending Email Communications. This can be set up on the Legal Hold Settings page.
2024/09/05,2024/09/09,Resolved defect,Errors,Access to view and Errors will be restricted for Client Domain Users. This measure will revoke the ability to read Errors and access the Errors tabs for all groups in Client Domains.
2024/08/29,2024/08/29,Enhancement,RelativityOne Staging Explorer,"Now you able to see only allowed folders on staging root in RelativityOne Staging Explorer: StructuredData, ProcessingSource, ARM and TenantVM."
2024/08/28,2024/08/28,Enhancement,Review Center,"You can now scale prioritized review queues up to 10M documents at an average extracted text size of 30KB, or ~8.3M documents at an average extracted size of 36KB. We generally recommend no more than a total of 300GB extracted text in a single queue."
2024/08/27,2024/08/27,Deprecation,Review Center,You can no longer create new Active Learning projects or classification indexes. You can continue using ongoing Active Learning projects and active classification indexes. You should create all new active learning projects in Review Center as prioritized review queues.
2024/08/22,2024/08/22,Enhancement,Import/Export,Import/Export now uploads the selected raw data to ProcessingSource and then triggers the Processing application.
2024/08/22,2024/08/22,Enhancement,Import/Export,"When the Staging Area export location is selected, Import/Export now exports data to the StructuredData folder in the Staging area."
2024/08/22,2024/08/22,Enhancement,Import/Export,"When the Local Disk export location is selected, Import/Export creates a copy of the exported data in a temporary non-Staging location and triggers download. If you leverage Express Transfer to download data, the temporary copy will be automatically cleaned up once the download is completed. For web browser downloads, the temporary files will be deleted after 5 days."
2024/08/21,2024/08/21,Enhancement,Review Center,"If Queue Refresh is On in the queue settings, the queue will now automatically refresh when 20% of documents in the queue have had positive or negative coding changes since the last queue refresh, or, if there is coding activity and it has been 8 hours since the last refresh, regardless of whether 20% of documents have been coded."
2024/08/21,2024/08/28,Enhancement,List Page,"Frozen columns will now persist after you navigate away from the document list, e.g. open a document in the viewer and exit the viewer"
2024/08/20,2024/08/30,Enhancement,Integration Points,"Prepare RIP import and export flows to work with new staging folders, as a part of the Staging Governance initiative."
2024/08/20,,Enhancement,Processing,"The new Processing Layout will now become the default experience when viewing progress of your Processing jobs. The new layout, previously available in preview mode, enhances statistics and feedback provided to customers while jobs are progressing to give greater insights into how it is performing. It will also provide a clear understanding of how documents have been filtered and where any outstanding exceptions may reside. This enhancement will be gradually rolled out to RelativityOne tenants over a period of 4 weeks."
2024/08/20,2024/08/22,Enhancement,Processing,You can now replace multiple errored files from the Processing Files tab in a single action.
2024/08/15,2024/08/15,Enhancement,Review Center,"The methods Review Center uses to tokenize text, or break it up into individual words, now supports Chinese and Japanese, in addition to English."
2024/08/13,2024/08/20,Enhancement,List Page,Date field filters now default to a timeframe of 12:00 AM - 11:59 PM when using the 'Is' operator. This matches the behavior from the legacy list page.
2024/08/12,2024/08/12,Enhancement,Redact,"In RelativityOne Redact, we're renaming the action that prepares excels so that markup can be drawn on them from 'Unhide Excel Content' to 'Prepare Excel for Redact' so that the action name more accurately reflects its purpose within Redact. This action is visible to users in 3 locations: as a button in the Viewer if an excel is not yet prepared, as a mass operation on the item-list page, and as a permission in the mass operations section of Workspace Details. This release note concerns only the button in the Viewer, but the mass operation and permission will be updated in the near future."
2024/08/01,2024/08/01,Resolved defect,List Page,"When creating an advanced filter from the item list on a multiple object field, no documents would be returned, and the user would see a âNo Dataâ message in the item list. For further information see knowledge base article REL-970404."
2024/07/31,2024/07/31,Enhancement,RDO,When creating a field on the Document object a banner is displayed in large workspaces to inform the user that review may be impacted by this action along with the number of active reviewers in the workspace.
2024/07/31,2024/07/31,Enhancement,RDO,When creating a yes/no type field we now display a modal suggesting use of single choice for better performance.
2024/07/18,,Enhancement,Workspace Management,Introduced Project Type field in new workspace create form. Field will be available soon in Cost Explorer to enhance reporting capabilities.
2024/07/18,N/A,Resolved defect,List Page,Fixed an issue where the first index search performed from the search toolbar or condition panel wouldnât properly update the item list. For further information see knowledge base article for REL-978454.
2024/07/18,2024/07/18,Enhancement,Review Center,Coverage Mode is now available on your prioritized review queues. Coverage Mode serves documents more optimal for training the model.
2024/07/17,2024/07/22,Enhancement,Processing,"Processing Errors have been renamed to Processing Exceptions! You will now see the name change reflected across the Processing Set, Files, and Report tabs. In addition, the Exception Level field was created on the Files tab to enable quick visibility to the most important issues that occurred in a Processing Set through values of Errors and Warnings."
2024/07/09,2024/07/09,Enhancement,Review Center,You can now see how many documents have been coded on the Review Field outside of the queue.
2024/07/01,2024/07/01,Deprecation,RDC,"As of July 1, 2024 the Relativity Desktop Client (RDC) is no longer operational for any RelativityOne customers. Import/Export see https://help.relativity.com/RelativityOne/Content/Relativity/Import_Export/Import_Export_Overview.htm should be used for all RelativityOne importing and exporting workflows. See the Community article RDC Deprecation FAQ at https://community.relativity.com/s/article/RelativityOne-Relativity-Desktop-Client-RDC-Deprecation-FAQ for additional information."
2024/07/01,N/A,Enhancement,PI Detect and Data Breach Response,"Effective July 1st, 2024 the PI Detect and Data Breach Response tool now utilize new lightweight PI data detectors. This enhancement improves performance, recall, and precision when processing unstructured documents such as PDFs, Docs or Emails."
2024/07/01,,Resolved defect,Direct SQL,"As of July 1, 2024 the Insert / Update / Delete permissions for the File Table from Direct SQL account will be removed. Read permissions will remain."
2024/06/20,2024/06/20,Enhancement,RelativityOne Staging Explorer,MSI installer available from Staging Explorer page allows clients to deploy ROSE across multiple user machines automatically.
2024/06/20,2024/06/20,Enhancement,Collect,You can now collect a user's conversation prompts and responses for ChatGPT Enterprise subscriptions. Conversations are automatically converted to RSMF.
2024/06/18,2024/06/19,Enhancement,Review Center,You can now select a layout that you want reviewers to see by default when they enter a queue.
2024/06/18,2024/06/19,Enhancement,Review Center,"You can now specify a cutoff on your prioritized review queue and in your validation. If a cutoff is set during validation, precision, as well as recall, is reported."
2024/06/18,2024/06/18,Enhancement,RelativityOne Staging Explorer,"You can now instruct ROSE to retry transfers automatically upon failure. Once activated in the settings menu, transfers will seamlessly restart should any error occur."
2024/06/13,2024/06/19,Enhancement,List Page,Multi-list pickers now contain a 'Swap Columns' button to move values from one side of the picker to the other.
2024/06/05,N/A,Resolved defect,Redact,"We resolved a defect with markups being resized when there was potential to overlap surrounding lines. A fix to resolve this issue was deployed on June 5, 2024."
2024/06/05,N/A,Enhancement,PI Detect and Data Breach Response,The PI Detect and Data Breach Response workspace template has the PI Detect and Data Breach Response application pre-installed and includes groups and processing fields specific to the application to provide a seamless setup experience.
2024/05/30,2024/06/10,Enhancement,Automated Workflows,"The new Workflow Notification Settings offers greater control over when you receive email notifications about a workflow's run. For example, you can choose to only receive notifications when a workflow run ends in failure so that you can promptly troubleshoot it."
2024/05/29,2024/05/29,Resolved defect,Legal Hold,Fixed a defect that was causing Preview Emails to fail for customers using the SMTP email processor type.
2024/05/28,2024/05/28,Deprecation,Processing,"The Processing Options section of the Archive (for example the ""Include Processing"" option in ARM) setup page has been removed to reduce user error. By default, Processing and Processed Files will be included in all subsequent Archives and missing Processing Files will be logged and skipped."
2024/05/23,2024/05/23,Enhancement,Production Sets,You can now configure additional steps to happen automatically as part of production in a Post Production step. This workflow automates and improves some of the tasks that were previously handled with scripts.
2024/05/23,2024/05/23,Enhancement,Import/Export,"When importing data with Express Transfer, it uploads only files linked in the load file that was selected in Import/Export UI, instead of uploading all the folder contents."
2024/05/23,2024/05/23,Enhancement,Import/Export,"When importing data with Express Transfer, case sensitivity is ignored in load file paths and in file names."
2024/05/22,2024/05/22,Enhancement,Preservation,You can now Preserve OneDrive URLs by specifying the URL value on a field on the Entity object.
2024/05/16,2024/05/16,Enhancement,RelativityOne Staging Explorer,An information icon provides explanations when the upload and download buttons are disabled.
2024/05/16,2024/05/16,Enhancement,Review,"You can now hover over the emojis in the Viewer to see enlarged emojis along with comment for each emoji in a flyout, without having to zoom in to see this information."
2024/05/14,2024/05/20,Enhancement,List Page,You can now double click selections in a multi-list pickers to move items from one side to the other.
2024/05/14,2024/05/14,Enhancement,Redact,"In RelativityOne Redact, we have introduced a 4GB size limit for native files in order to improve overall performance. Native file sizes over 4GB will no longer be prepared, marked up, or have markup burned in by Redact via projects, mass operations, or the Viewer. For native file sizes that are too large, please use the Redact External Markups workflow."
2024/05/08,2024/05/08,Enhancement,Express Transfer,"You can now use Express Transfer to upload opened files (e.g. Excel or Word), even if those files are used by another process."
2024/05/08,2024/05/08,Enhancement,Express Transfer,"Support for proxies is available in Express Transfer, by setting credentials under Preferences."
